作品名,公開年
醉いどれ天使,主要作品
野良犬,主要作品
羅生門,主要作品
生きる,主要作品
七人の侍,主要作品
蜘蛛巣城,主要作品
隠し砦の三悪人,主要作品
用心棒,主要作品
天国と地獄,主要作品
赤ひげ,主要作品
デルス・ウザーラ,主要作品
影武者,主要作品
乱,主要作品
