作品名,公開年
激突!,主要作品
ジョーズ,主要作品
未知との遭遇,主要作品
インディ・ジョーンズ,主要作品
E.T.,主要作品
カラー・パープル,主要作品
ジュラシック・パーク,主要作品
シンドラーのリスト,主要作品
プライベート・ライアン,主要作品
A.I.,主要作品
マイノリティ・リポート,主要作品
キャッチ・ミー・イフ・ユー・キャン,主要作品
ターミナル,主要作品
ミュンヘン,主要作品
戦火の馬,主要作品
リンカーン,主要作品
ブリッジ・オブ・スパイ,主要作品
レディ・プレイヤー1,主要作品
ウエスト・サイド・ストーリー,主要作品
フェイブルマンズ,主要作品
ポルターガイスト,主要作品
グレムリン,主要作品
バック・トゥ・ザ・フューチャー,主要作品
グーニーズ,主要作品
ロジャー・ラビット,主要作品
メン・イン・ブラック,主要作品
父親たちの星条旗,主要作品
硫黄島からの手紙,主要作品
トランスフォーマー,主要作品
トゥルー・グリット,主要作品
ジュラシック・ワールド,主要作品
ファースト・マン,主要作品
